ClassA	ClassB	PathID	PathName	Size
Metabolism	Overview	1200	Carbon metabolism	342
Metabolism	Overview	1210	2-Oxocarboxylic acid metabolism	76
Metabolism	Overview	1212	Fatty acid metabolism	70
Metabolism	Overview	1230	Biosynthesis of amino acids	228
Metabolism	Carbohydrate metabolism	1220	Degradation of aromatic compounds	203
Metabolism	Carbohydrate metabolism	10	Glycolysis / Gluconeogenesis	100
Metabolism	Carbohydrate metabolism	20	Citrate cycle (TCA cycle)	58
Metabolism	Carbohydrate metabolism	30	Pentose phosphate pathway	78
Metabolism	Carbohydrate metabolism	40	Pentose and glucuronate interconversions	66
Metabolism	Carbohydrate metabolism	51	Fructose and mannose metabolism	106
Metabolism	Carbohydrate metabolism	52	Galactose metabolism	74
Metabolism	Carbohydrate metabolism	53	Ascorbate and aldarate metabolism	45
Metabolism	Carbohydrate metabolism	500	Starch and sucrose metabolism	108
Metabolism	Carbohydrate metabolism	520	Amino sugar and nucleotide sugar metabolism	150
Metabolism	Carbohydrate metabolism	620	Pyruvate metabolism	96
Metabolism	Carbohydrate metabolism	630	Glyoxylate and dicarboxylate metabolism	95
Metabolism	Carbohydrate metabolism	640	Propanoate metabolism	101
Metabolism	Carbohydrate metabolism	650	Butanoate metabolism	92
Metabolism	Carbohydrate metabolism	660	C5-Branched dibasic acid metabolism	25
Metabolism	Energy metabolism	562	Inositol phosphate metabolism	66
Metabolism	Energy metabolism	190	Oxidative phosphorylation	215
Metabolism	Energy metabolism	195	Photosynthesis	63
Metabolism	Energy metabolism	196	Photosynthesis - antenna proteins	42
Metabolism	Energy metabolism	710	Carbon fixation in photosynthetic organisms	36
Metabolism	Energy metabolism	720	Carbon fixation pathways in prokaryotes	106
Metabolism	Energy metabolism	680	Methane metabolism	167
Metabolism	Energy metabolism	910	Nitrogen metabolism	60
Metabolism	Lipid metabolism	920	Sulfur metabolism	99
Metabolism	Lipid metabolism	61	Fatty acid biosynthesis	34
Metabolism	Lipid metabolism	62	Fatty acid elongation	23
Metabolism	Lipid metabolism	71	Fatty acid degradation	53
Metabolism	Lipid metabolism	72	Synthesis and degradation of ketone bodies	8
Metabolism	Lipid metabolism	73	Cutin, suberine and wax biosynthesis	13
Metabolism	Lipid metabolism	100	Steroid biosynthesis	31
Metabolism	Lipid metabolism	120	Primary bile acid biosynthesis	18
Metabolism	Lipid metabolism	121	Secondary bile acid biosynthesis	8
Metabolism	Lipid metabolism	140	Steroid hormone biosynthesis	47
Metabolism	Lipid metabolism	561	Glycerolipid metabolism	78
Metabolism	Lipid metabolism	564	Glycerophospholipid metabolism	109
Metabolism	Lipid metabolism	565	Ether lipid metabolism	29
Metabolism	Lipid metabolism	600	Sphingolipid metabolism	41
Metabolism	Lipid metabolism	590	Arachidonic acid metabolism	45
Metabolism	Lipid metabolism	591	Linoleic acid metabolism	24
Metabolism	Lipid metabolism	592	alpha-Linolenic acid metabolism	23
Metabolism	Lipid metabolism	1040	Biosynthesis of unsaturated fatty acids	27
Metabolism	Nucleotide metabolism	230	Purine metabolism	274
Metabolism	Amino acid metabolism	240	Pyrimidine metabolism	175
Metabolism	Amino acid metabolism	250	Alanine, aspartate and glutamate metabolism	67
Metabolism	Amino acid metabolism	260	Glycine, serine and threonine metabolism	94
Metabolism	Amino acid metabolism	270	Cysteine and methionine metabolism	97
Metabolism	Amino acid metabolism	280	Valine, leucine and isoleucine degradation	69
Metabolism	Amino acid metabolism	290	Valine, leucine and isoleucine biosynthesis	19
Metabolism	Amino acid metabolism	300	Lysine biosynthesis	47
Metabolism	Amino acid metabolism	310	Lysine degradation	76
Metabolism	Amino acid metabolism	220	Arginine biosynthesis	56
Metabolism	Amino acid metabolism	330	Arginine and proline metabolism	99
Metabolism	Amino acid metabolism	340	Histidine metabolism	46
Metabolism	Amino acid metabolism	350	Tyrosine metabolism	69
Metabolism	Amino acid metabolism	360	Phenylalanine metabolism	75
Metabolism	Amino acid metabolism	380	Tryptophan metabolism	67
Metabolism	Amino acid metabolism	400	Phenylalanine, tyrosine and tryptophan biosynthesis	72
Metabolism	Metabolism of other amino acids	410	beta-Alanine metabolism	43
Metabolism	Metabolism of other amino acids	430	Taurine and hypotaurine metabolism	24
Metabolism	Metabolism of other amino acids	440	Phosphonate and phosphinate metabolism	40
Metabolism	Metabolism of other amino acids	450	Selenocompound metabolism	28
Metabolism	Metabolism of other amino acids	460	Cyanoamino acid metabolism	33
Metabolism	Metabolism of other amino acids	471	D-Glutamine and D-glutamate metabolism	6
Metabolism	Metabolism of other amino acids	472	D-Arginine and D-ornithine metabolism	6
Metabolism	Metabolism of other amino acids	473	D-Alanine metabolism	5
Metabolism	Glycan biosynthesis and metabolism	480	Glutathione metabolism	41
Metabolism	Glycan biosynthesis and metabolism	510	N-Glycan biosynthesis	43
Metabolism	Glycan biosynthesis and metabolism	513	Various types of N-glycan biosynthesis	51
Metabolism	Glycan biosynthesis and metabolism	512	Mucin type O-glycan biosynthesis	11
Metabolism	Glycan biosynthesis and metabolism	515	Mannose type O-glycan biosyntheis	21
Metabolism	Glycan biosynthesis and metabolism	514	Other types of O-glycan biosynthesis	26
Metabolism	Glycan biosynthesis and metabolism	532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	18
Metabolism	Glycan biosynthesis and metabolism	534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	22
Metabolism	Glycan biosynthesis and metabolism	533	Glycosaminoglycan biosynthesis - keratan sulfate	14
Metabolism	Glycan biosynthesis and metabolism	531	Glycosaminoglycan degradation	15
Metabolism	Glycan biosynthesis and metabolism	563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	26
Metabolism	Glycan biosynthesis and metabolism	601	Glycosphingolipid biosynthesis - lacto and neolacto series	27
Metabolism	Glycan biosynthesis and metabolism	603	Glycosphingolipid biosynthesis - globo and isoglobo series	15
Metabolism	Glycan biosynthesis and metabolism	604	Glycosphingolipid biosynthesis - ganglio series	14
Metabolism	Glycan biosynthesis and metabolism	540	Lipopolysaccharide biosynthesis	40
Metabolism	Glycan biosynthesis and metabolism	550	Peptidoglycan biosynthesis	40
