ClassA 	ClassB 	PathID 	PathName 	Gene
Metabolism	Overview	01200	Carbon metabolism	K00844,K12407,K00845,K00886,K08074,K00918,K01810,K06859,K15916,K00850,K16370,K01623,K01624,K11645,K16305,K16306,K01803,K00134,K00150,K00927,K11389,K01834,K15633,K15634,K15635,K01689,K00873,K12406,K01622,K00163,K00161,K00162,K00627,K00382,K00169,K00170,K00172,K00171,K00027,K00028,K00029,K13937,K00036,K19243,K01057,K07404,K00033,K01783,K01807,K01808,K00615,K00616,K13810,K08094,K08093,K13812,K13831,K00948,K00034,K18124,K18125,K01053,K00851,K01690,K01625,K05308,K00874,K18126,K11395,K00131,K18978,K18127,K18020,K18021,K18022,K18128,K03738,K01647,K01681,K01682,K00031,K00030,K00164,K00658,K00174,K00175,K00177,K00176,K01902,K01903,K01899,K01900,K18118,K00234,K00235,K00236,K00237,K00239,K00240,K00241,K00242,K18859,K18860,K00244,K00245,K00246,K00247,K01676,K01679,K01677,K01678,K00026,K00025,K00024,K00116,K01637,K01638,K00023,K17865,K14446,K14447,K14448,K14451,K00261,K19268,K01846,K04835,K19280,K19281,K19282,K01965,K01966,K11263,K18472,K19312,K11942,K19269,K11517,K03781,K15893,K15919,K15918,K00855,K01601,K01602,K05298,K03841,K02446,K11532,K01086,K04041,K01100,K01595,K14454,K14455,K00814,K14272,K01006,K01610,K00051,K03737,K01007,K01958,K01959,K01960,K18556,K18557,K18558,K18559,K18560,K18209,K18210,K15230,K15231,K15232,K15233,K15234,K02160,K01961,K01962,K01963,K01964,K15036,K15037,K14468,K15017,K15039,K14469,K15018,K15019,K15020,K15052,K05606,K01847,K01848,K01849,K14471,K14472,K08691,K14449,K14470,K09709,K15038,K14465,K14466,K14467,K18861,K14534,K15016,K00626,K00198,K00196,K03518,K03519,K03520,K00192,K00195,K05299,K15022,K01938,K01491,K00297,K15023,K14138,K00197,K00194,K10944,K10945,K10946,K16157,K16158,K16159,K16160,K16161,K16162,K14028,K14029,K17066,K10713,K10714,K00148,K17067,K03396,K00121,K01070,K00122,K00123,K00124,K00125,K00126,K00127,K00200,K00201,K00202,K00203,K11261,K00205,K11260,K00204,K00672,K01499,K00319,K13942,K00320,K15024,K00925,K00625,K13788,K01895,K00193,K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584,K14080,K04480,K14081,K00317,K14082,K16176,K16177,K14083,K14084,K16178,K16179,K00399,K00401,K00402,K03388,K03389,K03390,K08264,K08265,K17100,K00863,K00600,K00830,K00018,K11529,K08692,K14067,K00058,K00831,K01079,K01752,K01754,K17989,K00281,K00282,K00283,K00605,K01948,K00926,K00640,K01738,K12339,K13034,K17069,K01455,K00249,K07511,K07514,K07515,K05605,K00140,K18122,K18121,K18120,K00043,K08318,K18119,K01715,K01782,K01825,K07516,K00209,K17829,K00248
Metabolism	Overview	01210	2-Oxocarboxylic acid metabolism	K01647,K01681,K01682,K00031,K00030,K01655,K17450,K01705,K05824,K17753,K10977,K16792,K16793,K10978,K14454,K14455,K00811,K00812,K00813,K11358,K00928,K00133,K00836,K00814,K14260,K14272,K00619,K00620,K00618,K11067,K14681,K14682,K00930,K00145,K12659,K00818,K00821,K01438,K14677,K00825,K05825,K00838,K05826,K05827,K19412,K05828,K05829,K05830,K05831,K09011,K01703,K01704,K00052,K01652,K01653,K11258,K00053,K01687,K00826,K01649,K01702,K15741,K15742,K12154,K12156,K11819,K11820,K11821,K12155,K13401,K14984,K12153,K11818,K11812,K11813,K13027
Metabolism	Overview	01212	Fatty acid metabolism	K11262,K01962,K02160,K01961,K01963,K11263,K18472,K00645,K00665,K00668,K00667,K11533,K00648,K18473,K00647,K09458,K00059,K01716,K02372,K16363,K00208,K02371,K10780,K00209,K10781,K03921,K03922,K07512,K01074,K00626,K00632,K07513,K07508,K07509,K01825,K01782,K07516,K00022,K07514,K10527,K01692,K13767,K07511,K07515,K00232,K00248,K00249,K00255,K06445,K09478,K09479,K01897,K15013,K08765,K19523,K19524,K08766,K10203,K10245,K10246,K10251,K10703,K10258,K07753,K00507,K10256,K10226,K10244,K10224,K10205
Metabolism	Overview	01230	Biosynthesis of amino acids	K01803,K00134,K00150,K00927,K11389,K01834,K15633,K15634,K15635,K01689,K00873,K12406,K01623,K01624,K01622,K11645,K16305,K16306,K00850,K16370,K00615,K00616,K13810,K01783,K01807,K01808,K08094,K13831,K08093,K13812,K00948,K09011,K01703,K01704,K00052,K01652,K01653,K11258,K00053,K01687,K00826,K01649,K01702,K17989,K01754,K01752,K00600,K01620,K00058,K00831,K01079,K02203,K00640,K01738,K12339,K13034,K17069,K01697,K10150,K01758,K00928,K12524,K12525,K12526,K00133,K00003,K00872,K02204,K01733,K00814,K14260,K14272,K14454,K14455,K00811,K00812,K00813,K11358,K09758,K01914,K01915,K00264,K00265,K00266,K00836,K00651,K01739,K01760,K14155,K00548,K00549,K00789,K17462,K01243,K18284,K07173,K17216,K17217,K01958,K01959,K01960,K01647,K01681,K01682,K00031,K00030,K01655,K17450,K01705,K05824,K17753,K10977,K16792,K16793,K10978,K00825,K05825,K00838,K00143,K14085,K00293,K00290,K05826,K05827,K19412,K05828,K05829,K05830,K05831,K00618,K00619,K00620,K11067,K14681,K14682,K00930,K00145,K12659,K00818,K00821,K01438,K14677,K01948,K00611,K01940,K01755,K01476,K00931,K00147,K12657,K00286,K01750,K01714,K00215,K00674,K14267,K01439,K01778,K01586,K10206,K05822,K00841,K05823,K03340,K00765,K02502,K01523,K01496,K11755,K14152,K01814,K02500,K02501,K01663,K01693,K01089,K00817,K05602,K04486,K18649,K00013,K01626,K03856,K13853,K13830,K01735,K13829,K03785,K03786,K00014,K13832,K00891,K00800,K01736,K01656,K13501,K01657,K01658,K13503,K00766,K13497,K01817,K01609,K13498,K01695,K01696,K06001,K01694,K01850,K04092,K14187,K04093,K14170,K04516,K06208,K06209,K00210,K04517,K00815,K00832,K15849,K00220,K15226,K15227,K04518,K01713,K05359,K00500
Metabolism	Carbohydrate metabolism	01220	Degradation of aromatic compounds	K15760,K15761,K15762,K15763,K15764,K15765,K15757,K15758,K00055,K00141,K05549,K05550,K05784,K05783,K03381,K01856,K03464,K01055,K14727,K18074,K18075,K18077,K18076,K00448,K00449,K01857,K01607,K00446,K07104,K10217,K01821,K01617,K10216,K02554,K18364,K01666,K18365,K04073,K18366,K10616,K18293,K10617,K10618,K10619,K16303,K16304,K18227,K05710,K00529,K10620,K10621,K10622,K10623,K03268,K16268,K18089,K18090,K16269,K18068,K18069,K18067,K18251,K18252,K18253,K18254,K18255,K16270,K10702,K16049,K16050,K10222,K05708,K05709,K05711,K08689,K15750,K18087,K18088,K08690,K14748,K14749,K14750,K05713,K14751,K18092,K00462,K05714,K15749,K16249,K16243,K16244,K16242,K16245,K16246,K16157,K16158,K16159,K16160,K16161,K16162,K21317,K21318,K21319,K21320,K21321,K21322,K07540,K07543,K07544,K07545,K07546,K07547,K07548,K07549,K07550,K10700,K17048,K17049,K14746,K10701,K14747,K01612,K04105,K04107,K04108,K04109,K04112,K04113,K04114,K04115,K07537,K07538,K07539,K07534,K07535,K07536,K01670,K15567,K15568,K15569,K15570,K15571,K15572,K15573,K19958,K15574,K15575,K00487,K05712,K03379,K01053,K00002,K14519,K14731,K15751,K15752,K15753,K15754,K15755,K15756,K14599,K14600,K08686,K20808,K20809,K00481,K06912,K10676,K00483,K00484,K16901,K00455,K00151,K10219,K01826,K05921,K15242,K00217,K14579,K14580,K14578,K14581,K14582,K14583,K14584,K14585,K00152,K00480,K11943,K11944,K18257,K11945,K11946,K11947,K15768,K15769,K13953,K13954,K00001,K00121,K04072,K19065,K07824
Metabolism	Carbohydrate metabolism	00010	Glycolysis / Gluconeogenesis	K00844,K12407,K00845,K01810,K06859,K13810,K15916,K00850,K16370,K21071,K00918,K00895,K03841,K02446,K11532,K01086,K04041,K01623,K11645,K01624,K01622,K16305,K16306,K01803,K00134,K10705,K00150,K00927,K01834,K15633,K15634,K15635,K01689,K00873,K12406,K00163,K00161,K00162,K00627,K00382,K13997,K00169,K00170,K00172,K00171,K03737,K00174,K00175,K00016,K01568,K13951,K13980,K00121,K13952,K04072,K13953,K13954,K18857,K00001,K00002,K14028,K14029,K00114,K04022,K00128,K14085,K00149,K00129,K00138,K01895,K01905,K01785,K01085,K20866,K01835,K15778,K15779,K01084,K00886,K08074,K01792,K01837,K03103,K11389,K00131,K18978,K01596,K01610,K01222,K01223,K02777,K02778,K02779,K02790,K02791,K20116,K20117,K20118,K02752,K02753
Metabolism	Carbohydrate metabolism	00020	Citrate cycle (TCA cycle)	K01647,K01648,K15230,K15231,K01681,K01682,K00031,K00030,K17753,K00164,K00658,K00382,K00174,K00175,K00177,K00176,K01902,K01903,K01899,K01900,K18118,K00234,K00235,K00236,K00237,K00239,K00240,K00241,K00242,K18859,K18860,K00244,K00245,K00246,K00247,K01676,K01677,K01678,K01679,K00025,K00026,K00024,K00116,K01958,K01959,K01960,K01610,K01596,K00163,K00161,K00162,K00627,K13997,K00169,K00170,K00172,K00171,K03737
Metabolism	Carbohydrate metabolism	00030	Pentose phosphate pathway	K01810,K06859,K13810,K15916,K00036,K19243,K01057,K07404,K13937,K00033,K01783,K00615,K00616,K01807,K01808,K13812,K08093,K08094,K13831,K01621,K01619,K00852,K01839,K01835,K15778,K15779,K05774,K00948,K01690,K01625,K17463,K11395,K00131,K18978,K00034,K18124,K18125,K00115,K19813,K00117,K01053,K06151,K06152,K00090,K11441,K00032,K00851,K05308,K00874,K18126,K18127,K03738,K18020,K18021,K18022,K18128,K11529,K17464,K17465,K17466,K17467,K17468,K01623,K11645,K01624,K01622,K16305,K16306,K03841,K02446,K11532,K01086,K04041,K00850,K16370,K21071,K00918,K00895
Metabolism	Carbohydrate metabolism	00040	Pentose and glucuronate interconversions	K01051,K01728,K01731,K19551,K01730,K01815,K00065,K01184,K01213,K01812,K00041,K01685,K16849,K16850,K01686,K08323,K08322,K00040,K18106,K19634,K18102,K18103,K18107,K01195,K14756,K00699,K16190,K12447,K00012,K00963,K00002,K13247,K08092,K00880,K03081,K03082,K01786,K03080,K01783,K01804,K00853,K00854,K01805,K00011,K17743,K03331,K01820,K00848,K01629,K17738,K17818,K00007,K05351,K00008,K00078,K14273,K14274,K14275,K14259,K13877,K19588,K00875,K00039,K05352,K21030,K21031
Metabolism	Carbohydrate metabolism	00051	Fructose and mannose metabolism	K01218,K19355,K00847,K01809,K15916,K16011,K17497,K01840,K15778,K16881,K00971,K00966,K01711,K02377,K00976,K18447,K05305,K01818,K00879,K01628,K00064,K18333,K07046,K18334,K18335,K18336,K18337,K18338,K12661,K18339,K12660,K01813,K01820,K00848,K01629,K05947,K07026,K18818,K00844,K00850,K16370,K21071,K00895,K03841,K02446,K11532,K01086,K04041,K19028,K19029,K01103,K19030,K00900,K14634,K00009,K00068,K19956,K00846,K00882,K00008,K00011,K01805,K08261,K17742,K19633,K00045,K00007,K00066,K19290,K19291,K01795,K01729,K01623,K11645,K01624,K01622,K16305,K16306,K01803,K00863,K03332,K15856,K00881,K01808,K17195,K02768,K02769,K02770,K11194,K11195,K11196,K02771,K02793,K02794,K02795,K02796,K02798,K02799,K02800,K02781,K02782,K02783,K02812,K02813,K02814,K02815
