[Gene ID]	[source_id]	[Gene Name or Symbol]	[Organism]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Function IDs]	[Computed GO Functions]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Function IDs]	[Curated GO Functions]	[Curated GO Process IDs]	[Curated GO Processes]	[EC numbers]	[EC numbers from OrthoMCL]	
CNAG_00001	CNAG_00001-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00002	CNAG_00002-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.- (In linear amides.)	
CNAG_00003	CNAG_00003-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00004	CNAG_00004-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0008270	DNA binding, zinc ion binding	GO:0006351	transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00005	CNAG_00005-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.1.- (Carboxylic ester hydrolases.)	
CNAG_00006	CNAG_00006-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00007	CNAG_00007-t26_1	N/A	C. neoformans var. grubii H99	GO:0005737	cytoplasm	GO:0005524, GO:0004812, GO:0004825, GO:0000166	ATP binding, aminoacyl-tRNA ligase activity, methionine-tRNA ligase activity, nucleotide binding	GO:0006431, GO:0006418	methionyl-tRNA aminoacylation, tRNA aminoacylation for protein translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.1.1.10 (Methionine--tRNA ligase)	
CNAG_00008	CNAG_00008-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00009	CNAG_00009-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005509	calcium ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00010	CNAG_00010-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0046873	metal ion transmembrane transporter activity	GO:0030001, GO:0055085	metal ion transport, transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00011	CNAG_00011-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004061	arylformamidase activity	GO:0019441	tryptophan catabolic process to kynurenine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00012	CNAG_00012-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491	oxidoreductase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3.1.20 (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase)	
CNAG_00013	CNAG_00013-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00013	CNAG_00013-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00013	CNAG_00013-t26_3	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00014	CNAG_00014-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00015	CNAG_00015-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00016	CNAG_00016-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00017	CNAG_00017-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0043565, GO:0003700	sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00018	CNAG_00018-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00019	CNAG_00019-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00020	CNAG_00020-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
