[Gene ID]	[source_id]	[Gene Name or Symbol]	[Curated GO Processes]	[Curated GO Process IDs]	[EC numbers]	[Organism]	[Computed GO Process IDs]	[Computed GO Processes]	
CNAG_00001	CNAG_00001-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00002	CNAG_00002-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00003	CNAG_00003-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00004	CNAG_00004-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006351	transcription, DNA-templated	
CNAG_00005	CNAG_00005-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00006	CNAG_00006-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00007	CNAG_00007-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006431, GO:0006418	methionyl-tRNA aminoacylation, tRNA aminoacylation for protein translation	
CNAG_00008	CNAG_00008-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00009	CNAG_00009-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00010	CNAG_00010-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0030001, GO:0055085	metal ion transport, transmembrane transport	
CNAG_00011	CNAG_00011-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0019441	tryptophan catabolic process to kynurenine	
CNAG_00012	CNAG_00012-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00013	CNAG_00013-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00013	CNAG_00013-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00013	CNAG_00013-t26_3	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00014	CNAG_00014-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00015	CNAG_00015-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00016	CNAG_00016-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00017	CNAG_00017-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00018	CNAG_00018-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	
CNAG_00019	CNAG_00019-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00020	CNAG_00020-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00021	CNAG_00021-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008295, GO:0006597	spermidine biosynthetic process, spermine biosynthetic process	
CNAG_00022	CNAG_00022-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
